"NUMBER","OCHN","MEANING","CHARACTER","FANQIE","MODERN","MCHN","GO","KANON","JAP","JIANCHUAN","DALI","BIJIANG","VIET","DOC","SHIJING","SHUOWEN","COMMENT","KARLGREN","STIBET"
 600,"","","§à","","jue","","","","","","","","",   0,"","","","",   0
 601,"nruý","to twirl, rotate [Han]","§á","","niu 3","nÜô±w","","","","","","","", 400,"","","For *n cf. Xiamen liu\H3\h, niu\H3\h, Chaozhou, Fuzhou niu\H3\h.","",   0
 602,"pr°ý","to grasp, hold [LZ]","§â","³Õ¤U","ba 3","paÜ±","","","","","","","", 401,"","","Also read *pr°ý-s, MC paÜÛ (FQ ¥¬¨È; fanqie from Yinyun shanwei) 'handle'; *br°, MC baÜ (FQ »Z¤Ú from Jiyun) 'to scrape, sweep'.","0039 b", 332
 603,"ýr¹k","to repress, restrain; yoke [L.Zhou]","§ã","¤A­²","e 4","ýaÜik","yaku","aku","aku;yaku;osaeru;kubiki","","","","",   0,"","","= ¤Ì. The fanqie is taken from Jiyun.","0844 f",   0
 604,"","","§ä","","zhao","","","","","","","","", 402,"","","","",   0
 605,"phÅj","to hit (with the hand) [L.Zhou]","§å","","pi 1","phiej","","","","","","","phe", 403,"","","Later attested meanings are: 'to scrape'; 'to criticize; make an official decision'. Viet. phe 'party, camp, side' may be traced back to the Chinese word with the latter meaning (although there are semantic problems); standard Sino-Viet. is phe^.","0566 |a ±",   0
 606,"phr°n","to climb up ( = Ãk q.v.)","§æ","´¶¯Z","pan 1","phaÜn","","","","","","","", 404,"","","Attested since Late Zhou as a substitute for Ãk. There is also a later reading (*pr°n), MC paÜn (FQ ¥¬ÁÙ), mod. b°n 'to pull toward oneself'.","0262 m",   0
 607,"","","§ç","","shu","","","","","","","","",   0,"","","","",   0
 608,"thiaý","to split, cleave, chop [Tang]","§è","","che 3","c±ha±","","","","","","","che`", 405,"","","Regular Sino-Viet. is chi`. A late character, more correctly written as áä. The word may be of Austric origin (cf. PAA *c½h 'cut, split' = PAN *Sasaq 'whet, sharpen'), in which case Viet. che' is rather the source of the Chinese form and not vice versa.","",   0
 609,"tat","to cut off, break off; decide","§é","","zhe 2","c±et","","","","","","","", 406,"","","Also read *dat, MC ú±et (for *d- cf. Chaozhou ciý\H8\h, Fuzhou siek\H8\h, Jianou cie\H6\h).","0287 a-b",   0
 610,"pôný","to grasp, hold","§ê","¤è§k","fen 3","pò±n","","","","","","","", 407,"","","Attested since Late Zhou (also read in this meaning as *bôný, MC bò±n (FQ ©Ð§k) and *pôn (FQ ©²¤å)). Later (since Tang) used exclusively for a word *prõn-s, MC p²ÜÛn (FQ Õª¤Û) 'to change (dresses), act, impersonate'.","0471 l", 222
 611,"dhÒ","to throw; to throw to, to present; throw out, eject","§ë","","tou 2","dÿw","","","","","","","", 408,"","","For *dh- cf. Xiamen thÕ\H2\h, Chaozhou thau\H2\h.","0130 c",   0
 612,"","","§ì","","zhua","","","","","","","","", 409,"","","","",   0
 613,"ýik","to restrain; be dignified","§í","","yi 4","ýik","","","","","","","u±'c",   0,"","","Used also for homonymous words: *ýik 'be beautiful'; *ýik 'a particle (perhaps: "however")'. The word is phonetically exceptional because it regularly rhymes in *-it in Shijing (thus indicating Early OC *ýik, not *ýôk).","0915 a",   0
 614,"m(h)ôný","wipe off [LZ]","§î","","wen 4","mò±n","","","","","","","",   0,"","","Also read *m(h)ôný-s, MC mòÛn id.","0475 h",   0
 615,"kõý","to change","§ï","","gai 3","kÿ±j","","","","k½3","ke3","qa2","ca`i", 410,"","","","0936 a-c",   0
 616,"kÒÑ","to work at, apply oneself to; well-worked, solid","§ð","","gong 1","kuÑ","","","","","","","", 411,"","","Obviously = ¤u q.v., thus the alternative MC reading koÑ must be secondary.","1172 e-f",   0
 617,"l(h)u ( Ú -iw)","place; which, who, where","§ñ","","you 1","jôw","","","","","","","",   0,"","","","1077 a-b",1747
 618,"gh°ný","drought, dry","§ò","","han 4","Áa^±n","","","","","","","haÜn", 412,"","","For *gh- cf. Xiamen u~a~\H6\h, Chaozhou u~a~\H4\h, Fuzhou aÑ\H6\h.","0139 s",   0
 619,"kr°Ñ","to change, take over","§ó","","geng 1","k²ÜiÑ","","","","","","","", 413,"","","Also read *kr°Ñ-s, MC k²ÜÛiÑ 'again, still more'.","0745 a-b",   0
 620,"Ìok","to bind together; a bundle","§ô","®Ñ¥É","shu 4","s±Óuk","","","","","","","",   0," 23.2_, 46.3_","","","1222 a-f",   0
 621,"rhôý","plum (Prunus salicina)","§õ","Â÷¨o","li 3","lÆ±","","","","","","","", 414," 24.2_","","For *rh- cf. Min forms: Jianou s½\H6\h, Jianyang se\H5\h, Shaowu sô\H3\h.","",   0
 622,"g(h)r°Ñý","apricot-tree [L.Zhou]","§ö","","xing 4","Á²Ü±iÑ","","","","","","","haÜnh", 415,"","","","0749 a-c",   0
 623,"ú±hõ","material, talent, skill","§÷","","cai 2","úÿj","","","","","","","taÛi", 416,"","","= ¤~. For *ú±h cf. Xiamen, Chaozhou, Fuzhou chai\H2\h.","0943 g",   0
 624,"shñn","hamlet, village [Jin]","§ø","","cun 1","chon","","","","","","","tho^n", 417,"","","","",   0
 625,"d(h)°ý","pear tree (Pyrus betulifolia Bunge); to fill, block up, shut up","§ù","","du 4","do±","","","","","","","", 418,"","","","0062 g-i",   0
 626,"dhraÑý","staff","§ú","","zhang 4","dÜa±Ñ","","","","","","","naÜng", 419,"","","Viet. naÜng may be an old loan from Chinese (if we assume nasal  metathesis): the usage of the Viet. word exactly parallels Chinese meanings  ("staff, crutch; to push"). Standard Sino-Viet. is tru'oÜ'ng. For *dh- cf. Fuzhou thioÑ\H6\h, Jianou thiÕÑ\H6\h.","0722 b",   0
 627,"khlôý","Chinese matrimony vine (Lycium chinense); a kind of willow (Salix sinopurpurea)","§û","","qi 3","khÆ±","","","","","","","",   0,"","","","0953 l-p",   0
 628,"","","§ü","","shan","","","","","","","","",   0,"","","","",   0
 629,"","= ¤z","§ý","","gan","","","","","","","","",   0,"","","","",   0
 630,"krÒÑ","bamboo pole, cross-pole, cangue [L.Zhou]","¨?","","gang 1","kaÜuÑ","","","","","","","go^ng",   0,"","","Normal Sino-Viet. is co^±ng (from MC *kaÛÜuÑ - unattested, but reflected  as well in the Mand. variant reading gaÛng).","1172 u",   0
 631,"dek÷","ladle, cup","¨@","","shuo","ú±ak","","","","","","","",   0,"","","Cf. °u.","1120 b", 898
 632,"b°(k)s","to walk","¨B","","bu 4","boÛ","","","","","","","", 420,"","","For *b- cf. Xiamen pÕ\H6\h, Chaozhou pou\H6\h, Fuzhou puo\H6\h, Jianou piÕ\H6\h.","0073 a-b", 196
 633,"mõý","each, every","¨C","","mei 3","mo±j","","","","","","","moÜi", 421,"","","For *m cf. Xiamen mui\H3\h, Fuzhou muoi\H3\h, Chaozhou mue\H3\h, Jianou mo\H3\h.    Standard Sino-Viet. is mo^~i. Also used for a homonymous ¨C *mõý 'dark, confused'.","0947 i-k",  94
 634,"gu","to seek, ask for","¨D","¥¨¹§","qiu 2","gôw","","","","","","","ca^Ûu", 422," 1.2_, 9.1_, 20.1, 20.2, 20.3, 31.3, 33.4, 34.4, 35.4_, 43.1, 43.2, 43.3","¯Á¤].","For *g- cf. Min data: Xiamen, Fuzhou kiu\H2\h, Jianou kiu\H9\h (Chaozhou khiu\H2\h is secondary).","1066 a-d",2643
 635,"","","¨E","","gong","","","","","","","","",   0,"","","","",   0
 636,"sr°j","sand","¨F","©Ò¥[","sha 1","sÜaÜ","","","","so4-","so4-","s±o4-","sa", 423,"","","Also used for a homonymous *sr°j 'satin (?)' (in inscriptions), later written as ¯½ 'muslin, a k. of cloth, thread, fibre'. Viet. has borrowed this word from two dialectal sources as Viet. sa and Viet. the. An older loan from the same source may be Viet. soÜ'i 'filament, fibre, thread'.","0016 a-c",1596
 637,"shôms","to leak [Tang]","¨G","","qin 4","chjiÛm","","","","","","","tha^±m",   0,"","","Also used for a river name. Viet. tha^±m is regular, but the standard Sino-Viet. form is (for some reason) ta^m. See also º¯, Ân.","",   0
 638,"dhrôm","to sink","¨H","","shen 3","dÜim","","","","","","","", 424,"","","During LZ attested also with derived meanings 'submerged; deep; put poison in a liquid'; *dhrôm, *dhrôm-s 'sacrifice in which the gifts are sunk in water'; also read *thômý, MC c±hi±m 'juice'; *tômý, MC s±i±m 'name of a state'. Frequently confused with ¨I.","0656 b-d",   0
 639,"dhrôm","to sink in, plunge in","¨I","","chen 2","dÜim","","","","","","","chiÛm", 425,"","","Frequently confused with ¨H. Regular Sino-Viet. is tra^Ûm. Another probable Viet. loan from the same  source is Viet. d_aß±m 'to sink'. For *dh cf. Xiamen thiam\H6\h (reflecting *dhrôm-s), Fuzhou theÑ\H2\h.","", 502
 640,"","","¨J","","yuan","","","","","","","","",   0,"","","","",   0
 641,"p°ts","uprooted, fallen down","¨K","","pei 4","pwa^Ûj","","","","","","","",   0,"","","","0501 f", 441
 642,"ý÷°Ñ","pool; vast [LZ]","¨L","","wang 1","ýwa^Ñ","","","","","","","", 426,"","","","0739 r",   0
 643,"k÷¹t","to open a passage","¨M","","jue 2","kwiet","","","","","","","quye^±t", 427,"","","A somewhat later meaning is ('to open a passage, break through' >) 'to decide, determine, decisive'.","0312 b",   0
 644,"m(h)Òk","to wash hair","¨N","","mu 4","muk","","","","","","","",   0,"","","","1212 e", 117
 645,"th°ts","to pass, surpass; be great, superior [L.Zhou]","¨O","","tai 4","tha^Ûj","","","","","","","tha±i",   0,"","","Originally written with ¤j in the right part. Also read *th°t, MC tha^t id.; *d(h)°ts, MC da^Ûj, Mand. daÛi 'to wash, wash away; discharge, eliminate'. With the latter meaning the character is nowadays also read as taÛi, and the Sino-Viet. loan tha`i demonstrates the same phonetic transfer. The same character is used to transcribe Viet. tha`y 'to throw' ( < 'discharge'?).","",   0
 646,"d(h)ñný","Chaos (in the comp. hun-dun) [LZ]","¨P","","dun 4","do±n","","","","","","","",   0,"","","Also used for *d(h)ñn, *d(h)ñný 'confused, stupid'.","0427 h",   0
 647,"","","¨Q","","gu","","","","","","","","",   0,"","","","",   0
 648,"d(h)ruÑ","be young, weak; perhaps: to go thud thud, slap slap","¨R","","chong 2","dÜòÑ","","","","","","","",   0,"","","","1007 p-q",1065
 649,"mõt","to make an end, disappear, exhaust","¨S","","mei 2","mot","","","","","","","", 428,"","","See comments to ª\. For *m cf. Xiamen but\H8\h, Chaozhou, Fuzhou muk\H8\h, Jianou mo\H8\h.","0492 b",   0
 650,"","","¨T","","qi","","","","","","","","", 429,"","","","",   0
 651,"ýñk","be glossy, look glossy (of leaves, plants)","¨U","","wo 4","ýok","","","","","","","",   0,"58.2","","","1141 l",   0
 652,"kôp","to draw water","¨V","","ji 2","kip","","","","","","","",   0,"","","","0681 h",2083
 653,"","","¨W","","fen","","","","","","","","",   0,"","","","",   0
 654,"brans","river name [Han]","¨X","","bian 4","beÛn","","","","","","","",   0,"","","For *b cf. Chaozhou pieÑ\H4\h, Fuzhou pieÑ\H6\h.","",   0
 655,"g(h)°Ñý","moisture of the dew (LZ)","¨Y","","hang","Áa^±Ñ","","","","","","","",   0,"","","Used only in compounds.","0698 f",   0
 656,"m(h)ôn-s","name of a river","¨Z","","wen 4","mòÛn","","","","","","","",   0,"","","","0475 i",   0
 657,"g(h)°(ý)-s","shut in, stop up (of cold which freezes everything) [LZ]","¨[","","hu 4","ÁoÛ","","","","","","","",   0,"","","","0054 c",   0
 658,"m(h)ený","richly flowing (stream)","¨\","","mian 3","mje±n","","","","","","","",   0,"","","","0247 c-d",   0
 659,"","","¨^","","yi","","","","","","","","",   0,"","","","",   0
 660,"","","¨_","","zao","","","","","","","","", 430,"","","","",   0
 661,"tek÷","be brilliant","¨`","¤§­Y","zhuo 2","c±ak","","","","","","","",   0," 6.1","¨b¤].±q¤õ.¤cÁn. [483]","","1120 f", 480
 662,"cõ ( Ú c±-)","disaster, accident","¨a","","zai 1","cÿj","","","","","","","", 431,"","","","0940 a-d",   0
 663,"k÷ôý","to prop up, raise against","¨b","","jiu 3","kô±w","","","","","","","", 432,"","","","",2270
 664,"rñ","calf; pen (place for calves)","¨c","","lao 2","la^w","","","","","","","lao", 433,"","","A later meaning is ('pen > ') 'jail, prison'. A more archaic loan from the same source may be Viet. raÛo 'fence, hedge' (perhaps also roÜ 'cage, trap'?). For *r- Cf. Xiamen, Chaozhou lo\H2\h, Fuzhou lÕ\H2\h, Jianou lau\H2\h.","1056 a-c",   0
 665,"m(hr)ñý","male animal","¨d","²ö«p","mu 3","mÿ±w","","","","","","","",   0," 34.2_, 57.3","","MC m«±w is irregular: *ma^±w would be regularly expected (since -«±w can go back to *-Òý or *-rÒý, in this case *m(h)rñý is also possible).","1063 a-c",   0
 666,"l(h)¹k","name of a Northern tribe; low servant.","¨f","","di 2","diek","","","","","","","", 434,"","","","0856 a-c",1727
 667,"g÷aÑ","be foolish, crazy","¨g","¥¨¤ý","kuang 2","gwaÑ","guwau","kuwiyau","kyÒ+;kuruu+;kuruoshii+","","","","", 435,"54.3_","","For *g- cf. Min forms: Xiamen kÕÑ\H2\h, Fuzhou kuoÑ\H2\h, Jianou kuaÑ\H9\h (Chaozhou khuaÑ\H2\h is secondary).","0739 o-p",2261
 668,"","black jade","¨h","","jiu 3","","","","","","","","",   0,"","","","",   0
 669,"loÑý","suspension ring at top of bell","¨i","","yong 3","jÓ±uÑ","","","","","","","",   0,"","","","1185 h-i",1807
 670,"paý","honorific 2d part of personal name; be big, large, wide","¨j","","fu 3","pò±","","","","","","","", 436,"","","","0102 n-q",   0
 671,"nõm","man, male person; a feudal title","¨k","","nan 2","nÿm","","","","","","","nam", 437,"","","For *n cf. Xiamen, Chaozhou lam\H2\h, Fuzhou naÑ\H2\h.","0649 a-c", 625
 672,"lhÅn-s","Royal domain; regulate, make ready for culture; also sheng 4 "the carriage of a minister"","¨l","","dian 4","diÛen","","","","","","","",   0,"","","Clearly derived from ¥Ð *lhÅn q. v.","0362 g-h",   0
 673,"ú(h)ñý","soft, not ripe","¨m","","zao 4","úa^±w","","","","","","","", 438,"","","Original meaning is 'acorn, black-dyeing fruit' (attested during LZ); during LZ used also for homonymous *ú(h)ñý 'menial; stable; 12 horses'.","1054 a-b",   0
 674,"","","¨n","","ding","","","","","","","","",   0,"","","","",   0
 675,"xôý","post-verbal injunctive particle","¨o","¤_¤w","yi 3","øÆ±","","","","","","","",   0," 3.4, 9.1, 9.2, 9.3, 24.1, 24.2, 26.5, 27.1, 27.2, 33.1, 35.4, 48.1, 48.2, 48.3, 50.2, 58.4, 58.5","»y¤xµü¤].±q¥Ú¥HÁn.","The xie-sheng series of ¨o is basically laryngeal (see ROPS 286, 296), thus the anomal MC reading øÆ± must be a result of secondary voicing ( < *hÆ±); despite Shuowen, ¥H can not be phonetic here.","0976 l",   0
 676,"sôj","be private; to turn into one's own, keep for oneself; sister's husband","¨p","®§¦i","si 1","sji","","","","","","","", 439," 2.3_, 57.1_","¥Ý¤].±q¥Ý.**Án.¥_¹D¦W¥Ý¥D¤H¤ê¨p¥D¤H. [321]","","0557 b",2644
 677,"slhuýs","to flower and set ears","¨q","","xiu 4","sjôÛw","","","","","","","", 440,"","","","1095 a-b",   0
 678,"sl(h)Òk","bald [Han]","¨r","","tu 1","thuk","","","","","","","troÜc", 441,"","","Standard Sino-Viet. is tho^±c.","1205 a",   0
 679,"kus","to go to the end, to the bottom of smth., to the extreme, search into, investigate","¨s","","jiu 4","kôÛw","","","","","","","", 442,"","","","",   0
 680,"g¹(k)-s","bind [Han]","¨t","","xi 4","ÁieÛj","","","","","","","", 443,"","","Cf. «Y.","0876 a-b",   0
 681,"x°ný","rare, seldom","¨u","","","xa^±n","","","","","","","",   0,"","","The original meaning 'net' is attested only since Han.","0139 |f ±",2622
 682,"sew-s","to resemble (LZ)","¨v","","xiao 4","sjeÛw","","","","","","","",   0,"","","","1149 g",   0
 683,"sm(h)°Ñ","diaphragm (LZ)","¨w","","huang 1","xwa^Ñ","","","","","","","",   0,"","","","0742 y",   0
 684,"k°n","liver [LZ]","¨x","¥j´H","gan 1","ka^n","","","","ka~4","ka5","qa~4","gan", 444,"","","Regular Sino-Viet. is can.","0139 l",2139
 685,"truý ( Ú -iwý)","wrist, elbow","¨y","","zhou","Þô±w","","","","","","","", 445,"","","","1073 a", 975
 686,"","","¨z","","gang","","","","","","","","", 446,"","","","",   0
 687,"d°ý","belly [Tang]","¨{","","du 4","do±","","","","","","","daÜ", 447,"","","Also read OC *t°ý, MC to±, Mand. duö 'stomach'. Regular Sino-Viet. is  d_o^~.","",   0
 688,"lhuk","to give birth, rear, raise, bring up, nourish","¨|","§E¤»","yu 4","jòk","","","","","","","duÜc", 448," 35.5_","","For *lh- (yielding dialectal *jh- instead of a more regular *zh-) cf. Jianou ò\H7\h, Meixian juk\H7\h.","1020 a",   0
 689,"raÑ","be good","¨}","§f±i","liang 2","laÑ","","","","","","","", 449," 29.3_, 49.1_, 49.2_, 53.1, 53.2, 53.3, 58.1","","For *r- cf. Min forms: Xiamen liÕÑ\H2\h, Chaozhou liaÑ\H2\h, Fuzhou lioÑ\H2\h, Jianou liÕÑ\H9\h.","0735 a-d", 671
 690,"m°Ñ","be vast; great, extensive","¨~","","mang 2","mwa^Ñ","","","","","","","",   0,"","","For *m cf. Fuzhou moÑ\H2\h, Jianou moÑ\H9\h.","0742 k",  73
 691,"wa-s","taro, Colocasia [LZ]","¨¡","","yu 4","øòÛ","","","","","","","",   0,"","","For *w- cf. Xiamen Õ\H6\h, Chaozhou ou\H6\h, Fuzhou uo\H6\h, Jianou ò\H6\h. The character is attested already in Shijing, but only as a loan for ¦t q.v.","0097 o",2610
 692,"","","¨¢","","shao","","","","","","","","",   0,"","","","",   0
 693,"k¹ns","to see, look at; see someone, have an audience; receive in audience","¨£","¥j¹q","jian 4","kiÛen","","","","-ke~2","","","ke±n", 450," 10.1, 10.2, 14.1, 14.2, 14.3, 42.1, 58.1","µø¤].±q¥Ø¤L.¤Z¨£¤§ÄÝ¬Ò±q¨£. [407]","Also read *g¹ns (see ²{). Viet. ke±n 'to choose, select' ( < 'to look'?)  is possibly an early loan; regular Sino-Viet. is kie^±n.","0241 a-d",2537
 694,"krÒk","horn","¨¤","¥j©¨","jiao 3","kaÜuk","","","","kò6","kò6","qo~6","gaÜc", 451," 11.3_, 17.2_","Ã~¨¤¤].¶H§Î.¨¤»P¤M³½¬Û¦ü.¤Z¨¤¤§ÄÝ¬Ò±q¨¤. [184]","Viet. gaÜc is colloquial (with a specialized meaning 'antlers'); another  colloquial loanword from the same source is go±c 'corner, angle' (cf. also  ho±c id.?). Regular Sino-Viet. is gia±c.","1225 a-c", 817
 695,"Ñan","to speak, say; talk, words, saying; place name","¨¥","»y°a","yan 2","Ñôn","","","","","","","", 452," 2.3, 8.1, 8.2, 8.3, 9.2, 9.3, 13.3, 14.2, 14.3, 26.2, 26.4, 26.5, 30.3, 30.4, 38.3, 39.3_, 39.4, 44.1, 44.2, 46.1, 46.2, 46.3, 50.3, 54.1, 54.3, 56.1_, 58.2_, 58.5","ª½¨¥¤ê¨¥.½×Ãø¤ê»y.±q¤f.¨¯Án.¤Z¨¥¤§ÄÝ¬Ò±q¨¥.","For *Ñ- cf. Min forms: Xiamen gian\H2\h, Chaozhou ÑaÑ\H2\h, Fuzhou ÑioÑ\H2\h.       The character ¨¥ is also used for a homonymous particle (OC Ñan) whose meaning is much debated. Some authors think that it means 'there; and so' (at the beginning of poetry lines); others think that it sometimes represents a form of the 1st person pronoun (and is thus related to §Ú, §^ q.v.). It is also attested within an expressive reduplication ¨¥¨¥ *Ñan-Ñan 'to be high' (in Shijing).       Finally, ¨¥ occurs in Early Zhou texts (with the same reading *Ñan) as a phonetic variant of the pronominal predicate µM *nan (q.v.) after velars, *-h ( < *-Ks) and *-ý [thus, e.g., in Shi 26,4] (see Schòssler 503). It seems also to occur after -c± ( < *-Ts) which is phonetically strange (perhaps reflecting a facultative articulation of -c± as -jh?).       The word ¨¥ 'speak' is no doubt related to »y *Ñaý q.v.","0251 a-d",   0
 696,"klÒk","valley; name for the East wind","¨¦","¥j¸S","gu 3","kuk","","","","","","","co^±c", 453," 2.1_, 35.1","¬u¥X¤t¬°¨¦.±q¤ô¥b¨£¥X©ó¤f.¤Z¨¦¤§ÄÝ¬Ò±q¨¦. [570]","","1202 a-c",2190
 697,"d(h)Òs","a dou vessel","¨§","¥Ð­Ô","dou 4","dÿÛw","","","","tÆ3","tÆ3","dÆ2","d_a^Üu", 454,"","","A round vessel of clay or wood for serving solid food. Since Late Zhou the character is used for a homonymous word *d(h)Òs 'bean(s)'.","0118 a-c",   0
 698,"","pig","¨¨","","shi 3","","","","","","","","",   0,"","","","",   0
 699,"p°ts","cowry","¨©","³Õ»\","bei 4","pwa^jÛ","","","","","","","", 455,"","","","0320 a-e", 224
 700,"khiak","be red","¨ª","©÷¥Û","chi 4","c±hek","siyaku","seki","seki;shaku;akai;akaramu;akarameru;aka","ch½6","cher6","Þha~6","", 456," 41.3","","Perhaps related to »® *xr°k 'red' (q.v.), although loss of -r- here is hard to explain.","0793 a-c",2699
 701,"c±Òý","to run, make run, gallop","¨«","","zou 3","cÿ±w","","","","","","","", 457,"","","Probably related to ½ì *c±hoý-s, *c±hÒý (q.v.) which allows to reconstruct *c±-.","0119 a-c",   0
 702,"c±ok","leg, foot","¨¬","§Y¥É","zu 2","cjÓuk","soku","siyoku","soku+;ashi+;tariru;tasu","","","","", 458," 17.2_","","Also very frequently used for a homonymous *c±ok 'be sufficient, enough'.","1219 a-b",2720
 703,"slin","body, person, self","¨­","¥¢¤H","shen 1","s±in","","","","","","","tha^n", 459," 28.4_","","","0386 a-c",   0
 704,"k(l)a","chariot, carriage","¨®","¤E³½","che 1","kÓ","","","","","","","xa", 460," 24.1_, 37.3, 39.3, 41.3_, 58.2, 58.4","","In MC also read c±ha, FQ ¤Ø¾B (whence Mand. ch¹, Viet. xa), but this reading is rather recent  (judging from rhymes, not earlier than Eastern Han) and must stem from some  Old Chinese dialect. Viet. has also a colloquial loan from the same source: xe id. If the reconstruction is indeed *kla, one can think of an early borrowing from IE.","0074 a-d",   0
 705,"sin","the 8th of the Heavenly Stems","¨¯","","xin 1","sjin","","","","c±hi~4","c±hi4","che~4","", 461,"","","Used also for a homonymous *sin 'be bitter, pungent, painful'.","0382 a-f",1512
 706,"d(h)ôr","the 5th of the Earthly Branches","¨°","","chen 2","ú±in","","","","","","","thiÛn", 462,"","","Also used for a homonymous *d(h)ôr 'planet; date, point in time'. Standard Sino-Viet. is tha^Ûn.","0455 a-g",   0
 707,"ý÷a","to bend, deflect","¨±","","yu 1","ýò","","","","","","","",   0,"","","Also read *w(h)a, MC øò, Pek. yu± id.","0097 p",   0
 708,"Ðaj","slant, deflect","¨²","","yi 2","je","","","","","","","",   0,"","","Also read *Ðajý, MC je±, Pek. yiö id.","",1876
 709,"sin-s","rapid, sudden [LZ]","¨³","","xun 4","sjiÛn","","","","","","","", 463,"","","Labialisation in the alternative MC reading sjwiÛn is not quite clear; initially also *slh- or *snh- can be reconstructed.","0383 b",   0
 710,"xôt","to reach to, come to the point that","¨´","","qi 4","xÆt","","","","","","","",   0,"","","","0517 k-l",   0
 711,"lhun","to go around, to patrol, inspect","¨µ","","xun 2","zjwin","","","","","","","tua^Ûn", 464,"","","Attested already in Shujing, but absent from Schòssler's dictionary.","0462 e",   0
 712,"ýôp","settlement, town, city","¨¶","","yi 4","ýip","","","","","","","a^±p",   0,"","","","0683 a-e",2104
 713,"g(h)¹Ñ","place name","¨·","","xing 2","ÁieÑ","","","","","","","",   0,"57.1","","","",   0
 714,"lhia","slant, swerve","¨¸","","xie 2","zja","","","","","","","le±", 465,"41.1_, 41.2_, 41.3_","","The original reading must have been *lia, MC ja, Pek. ye± 'a place name' (during LZ more usually written as ­C); a homonymous form is employed in Yijing as an interrogative particle *lhia (contraction of ¤] + ¥G *lhiaj + w°). In post-Han time frequently written as ±×. Viet. le± is an archaic  loanword (used only in the sense 'squint'); regular Sino-Viet. is taÛ. Cf. perhaps also xe^± 'to incline, decline'.","0047 a",   0
 715,"prÒÑ","country","¨¹","³Õ¦¿","bang 1","paÜuÑ","","","","","","","bang", 466,"47.3, 54.4","","Cf. perhaps also Viet. vuÛng 'zone, region, country'.","1197 e-h", 410
 716,"n(h)°r","(Sch.:) perhaps: be rich","¨º","","nuo 2","na^","","","","-na6","-na6","no2-","naÛy",   0,"","","In oldest texts the character is used only with the meaning 'to be rich' (sometimes within a compound Öa¨º *ý°r-n°r id.). The pronominal meaning (at first  only  interrogative)  appears  only during Late Zhou - as a synonym for ©` *n(h)°ts 'so what?' (q.v.). Later, during Wei, the character is used for a (probably  related) interrogative *n(h)°± > MC na^±, Mand. nuoö (colloq. naö) 'how,  what'. Finally,  since Tang demonstrative usage is witnessed: MC na^Û, Mand. nuoÛ  (colloq. naÛ)  'that'. The standard Sino-Viet. reading is na~; naÛy  may be an old  loanword, or else may be just a rather universal  pronominal stem (in Viet. cf. also no± 'he', noÜ 'other').","0350 a",2754
 717,"luý","10th of the Earthly Branches","¨»","","you 3","jô±w","","","","","","","da^Üu",   0,"","","","1096 a-g",   0
 718,"rôý","village, neighborhood, community; measure of distance, about 1/2 km, or 1/3 of a mile; suffering","¨½","","li 3","lÆ±","","","","","","","", 467,"","","For *r cf. Xiamen, Chaozhou, Fuzhou li\H3\h.","", 734
 719,"baÑ","to withstand; (what withstands:) a match; a dyke","¨¾","","fang 2","bwaÑ","","","","","","","phoÛng", 468,"","","For *b cf. Jianou poÑ\H9\h.","0740 |z-a ±",   0
 720,"","","¨¿","","ruan","","","","","","","","",   0,"","","","",   0
 721,"ú(h)eÑý","pit [LZ]","¨À","","jing 4","úje±Ñ","","","","","","","",   0,"","","","0819 i",   0
 722,"br°ný","slope, bank","¨Á","","ban 3","baÜ±n","","","","","","","",   0,"","","Also read: MC pwô±n, OC *paný id.","0262 g",   0
 723,"khr°Ñ","pit, hole [LZ]","¨Â","","keng 1","kh²ÜiÑ","","","","","","","",   0,"","","","0698 i",   0
 724,"b¹Ñý","side by side,next to each other, all together","¨Ã","»Z­~","bing 4","bie±Ñ","biyau","hei","hei;nami;naraberu;narabu","","","","", 469,"","","For *b cf. Chaozhou peÑ\H4\h (Xiamen piÑ\H5\h, Fuzhou peÑ\H5\h reflected unattested MC *piÛeÑ).    Cf. ¦} *peÑ 'to put together, combine', «Ì *peÑý 'to put away, remove'.","0840 a-c",   0
 725,"","","¨Ä","","guai 1","","","","","","","","", 470,"","","","",   0
 726,"noý","milk, breast, to feed (a baby) with milk [L.Zhou]","¨Å","","ru 3","n±ò±","","","","","","","nhu~", 471,"","","For *n±- cf. Xiamen úu\H3\h, Chaozhou zu\H3\h, Fuzhou ò\H3\h.","0135 a", 593
 727,"ú±(h)rôý-s","assignment, affair, service; to carry out an assignment, serve","¨Æ","¾S¦O","shi 4","úÜÆÛ","","","","","","","", 472," 13.1_, 40.2, 40.3","","The word is obviously related to ¥K *ú±(h)rôý 'to work; serve, office' q.v.","0971 a-c",   0
 728,"","","¨Ç","","xie","","","","","","","","", 473,"","","","",   0
 729,"ýr°ks","next in line, second, inferior","¨È","¦ç¶ù","ya 4","ýaÜÛ","e","a","e;a;tsugu","","","","", 474,"","","","0805 a-d",   0
 730,"haÑý","to enjoy use of smth.","¨É","³\¨â","xiang 3","xa±Ñ","kau","kiyau","kÒ;kyÒ;au;ukeru;utagesuru","","","","hu'o`'ng", 475,"","","Regularly rhymes in ¥­Án in Shijing, thus a variant *haÑ must have also  existed. Also written as ÅW ('enjoy a feast, have a feast, entertain').","0716 a-d",   0
